section,item,note,2019,2018

Resultaträkning,Nettoomsättning,Not 1,37496193,36385447
Resultaträkning,Drift och underhåll,Not 2,-23110580,-22639077
Resultaträkning,Övriga externa kostnader,Not 3,-647103,-811140
Resultaträkning,Planerat underhåll,,-2148091,-2301462
Resultaträkning,Personalkostnader och arvoden,Not 4,-867610,-1002748
Resultaträkning,Avskrivningar av materiella anläggningstillgångar,,-4397465,-4234600
Resultaträkning,Summa rörelsekostnader,,-31170850,-30989027
Resultaträkning,Rörelseresultat,,6325343,5396420
Resultaträkning,Ränteintäkter och liknande resultatposter,Not 5,14567,7481
Resultaträkning,Räntekostnader och liknande resultatposter,Not 6,-2779567,-2977657
Resultaträkning,Summa finansiella poster,,-2765000,-2970176
Resultaträkning,Årets resultat,,3560343,2426244

Balansräkning Tillgångar,Byggnader och mark,Not 7,192703980,164163381
Balansräkning Tillgångar,Inventarier och maskiner,Not 8,2983093,3158569
Balansräkning Tillgångar,Pågående nyanläggningar,Not 9,22612654,30031143
Balansräkning Tillgångar,Summa materiella anläggningstillgångar,,218299727,197353092
Balansräkning Tillgångar,Andra långfristiga värdepappersinnehav,Not 10,500,500
Balansräkning Tillgångar,Summa anläggningstillgångar,,218300227,197353592
Balansräkning Tillgångar,"Avgifts-, hyres- och andra kundfordringar",,49333,75101
Balansräkning Tillgångar,Avräkningskonto HSB Stockholm,,20038948,29993661
Balansräkning Tillgångar,Placeringskonto HSB Stockholm,,5410,5404
Balansräkning Tillgångar,Övriga fordringar,Not 11,117655,5504
Balansräkning Tillgångar,Förutbetalda kostnader och upplupna intäkter,Not 12,1216207,900933
Balansräkning Tillgångar,Summa kortfristiga fordringar,,21427553,30980603
Balansräkning Tillgångar,Kassa och bank,Not 13,159600,182181
Balansräkning Tillgångar,Summa omsättningstillgångar,,21587153,31162785
Balansräkning Tillgångar,Summa tillgångar,,239887380,228516377

Balansräkning Eget kapital och skulder,Insatser,,6208000,6208000
Balansräkning Eget kapital och skulder,Upplåtelseavgifter,,9935000,9935000
Balansräkning Eget kapital och skulder,Yttre underhållsfond,,7396293,7697755
Balansräkning Eget kapital och skulder,Summa bundet eget kapital,,23539293,23840755
Balansräkning Eget kapital och skulder,Balanserat resultat,,42801870,40074164
Balansräkning Eget kapital och skulder,Årets resultat,,3560343,2426244
Balansräkning Eget kapital och skulder,Summa fritt eget kapital,,46362213,42500408
Balansräkning Eget kapital och skulder,Summa eget kapital,,69901506,66341163
Balansräkning Eget kapital och skulder,Skulder till kreditinstitut (långfristiga),Not 14,160141924,148244248
Balansräkning Eget kapital och skulder,Skulder till kreditinstitut (kortfristiga),Not 15,3157324,3157324
Balansräkning Eget kapital och skulder,Leverantörsskulder,,1467346,4758444
Balansräkning Eget kapital och skulder,Skatteskulder,,4,96723
Balansräkning Eget kapital och skulder,Fond för inre underhåll,,618255,645119
Balansräkning Eget kapital och skulder,Övriga skulder,Not 16,40047,11830
Balansräkning Eget kapital och skulder,Upplupna kostnader och förutbetalda intäkter,Not 17,4560975,5261526
Balansräkning Eget kapital och skulder,Summa kortfristiga skulder,,9843950,13930966
Balansräkning Eget kapital och skulder,Summa skulder,,169985874,162175214
Balansräkning Eget kapital och skulder,Summa eget kapital och skulder,,239887380,228516377

Kassaflödesanalys,Resultat efter finansiella poster,,3560343,2426244
Kassaflödesanalys,Avskrivningar,,4397465,4234600
Kassaflödesanalys,Kassaflöde från löpande verksamhet före rörelsekapital,,7957808,6660845
Kassaflödesanalys,Ökning/minskning kortfristiga fordringar,,-401657,-114221
Kassaflödesanalys,Ökning/minskning kortfristiga skulder,,-4087016,2233068
Kassaflödesanalys,Kassaflöde från löpande verksamhet,,3469135,8779692
Kassaflödesanalys,Investeringar i fastigheter,,-25344100,-21401166
Kassaflödesanalys,Kassaflöde från investeringsverksamhet,,-25344100,-21401166
Kassaflödesanalys,Ökning/minskning av långfristiga skulder,,11897676,32292676
Kassaflödesanalys,Kassaflöde från finansieringsverksamhet,,11897676,32292676
Kassaflödesanalys,Årets kassaflöde,,-9977289,19671202
Kassaflödesanalys,Likvida medel vid årets början,,30181246,10510044
Kassaflödesanalys,Likvida medel vid årets slut,,20203958,30181246

Not 1 Nettoomsättning,Årsavgifter,,33556753,32973032
Not 1 Nettoomsättning,Årsavgifter el,,3600,1950
Not 1 Nettoomsättning,Hyror,,3663403,3840814
Not 1 Nettoomsättning,Övriga intäkter,,1012241,225033
Not 1 Nettoomsättning,Bruttoomsättning,,38235997,37040829
Not 1 Nettoomsättning,Avgifts- och hyresbortfall,,-732713,-654332
Not 1 Nettoomsättning,Hyresförluster,,-7091,-1050
Not 1 Nettoomsättning,Summa,,37496193,36385447

Not 2 Drift och underhåll,Fastighetsskötsel och lokalvård,,3563636,3614918
Not 2 Drift och underhåll,Reparationer,,3645805,2775965
Not 2 Drift och underhåll,El,,1849099,1812457
Not 2 Drift och underhåll,Uppvärmning,,6357025,6642286
Not 2 Drift och underhåll,Vatten,,2776789,2825260
Not 2 Drift och underhåll,Sophämtning,,1462341,1596218
Not 2 Drift och underhåll,Fastighetsförsäkring,,676509,644961
Not 2 Drift och underhåll,Kabel-TV och bredband,,533558,549778
Not 2 Drift och underhåll,Fastighetsskatt och fastighetsavgift,,1028724,1200244
