section,item,note,2018,2017

Resultaträkning,Nettoomsättning,Not 1,36385447,36540349
Resultaträkning,Drift och underhåll,Not 2,-22639077,-21900501
Resultaträkning,Övriga externa kostnader,Not 3,-811140,-493682
Resultaträkning,Planerat underhåll,,-2301462,-4662487
Resultaträkning,Personalkostnader och arvoden,Not 4,-1002748,-916656
Resultaträkning,Avskrivningar av materiella anläggningstillgångar,,-4234600,-3593826
Resultaträkning,Summa rörelsekostnader,,-30989027,-31567152
Resultaträkning,Rörelseresultat,,5396420,4973197
Resultaträkning,Ränteintäkter och liknande resultatposter,Not 5,7481,-14467
Resultaträkning,Räntekostnader och liknande resultatposter,Not 6,-2977657,-3171990
Resultaträkning,Summa finansiella poster,,-2970176,-3186457
Resultaträkning,Årets resultat,,2426244,1786741

Balansräkning Tillgångar,Byggnader och mark,Not 7,164163381,162178852
Balansräkning Tillgångar,Inventarier och maskiner,Not 8,3158569,3334045
Balansräkning Tillgångar,Pågående nyanläggningar,Not 9,30031143,14673630
Balansräkning Tillgångar,Summa materiella anläggningstillgångar,,197353092,180186527
Balansräkning Tillgångar,Andra långfristiga värdepappersinnehav,Not 10,500,500
Balansräkning Tillgångar,Summa anläggningstillgångar,,197353592,180187027
Balansräkning Tillgångar,"Avgifts-, hyres- och andra kundfordringar",,75101,14651
Balansräkning Tillgångar,Avräkningskonto HSB Stockholm,,29993661,10234348
Balansräkning Tillgångar,Placeringskonto HSB Stockholm,,5404,5399
Balansräkning Tillgångar,Övriga fordringar,Not 11,5504,4851
Balansräkning Tillgångar,Förutbetalda kostnader och upplupna intäkter,Not 12,900933,847815
Balansräkning Tillgångar,Summa kortfristiga fordringar,,30980603,11107064
Balansräkning Tillgångar,Kassa och bank,Not 13,182181,270297
Balansräkning Tillgångar,Summa omsättningstillgångar,,31162785,11377361
Balansräkning Tillgångar,Summa tillgångar,,228516377,191564388

Balansräkning Eget kapital och skulder,Insatser,,6208000,6208000
Balansräkning Eget kapital och skulder,Upplåtelseavgifter,,9935000,9935000
Balansräkning Eget kapital och skulder,Yttre underhållsfond,,7697755,10586642
Balansräkning Eget kapital och skulder,Summa bundet eget kapital,,23840755,26729642
Balansräkning Eget kapital och skulder,Balanserat resultat,,40074164,35398536
Balansräkning Eget kapital och skulder,Årets resultat,,2426244,1786741
Balansräkning Eget kapital och skulder,Summa fritt eget kapital,,42500408,37185277
Balansräkning Eget kapital och skulder,Summa eget kapital,,66341163,63914918
Balansräkning Eget kapital och skulder,Skulder till kreditinstitut (långfristiga),Not 14,148244248,115951572
Balansräkning Eget kapital och skulder,Skulder till kreditinstitut (kortfristiga),Not 15,3157324,3157324
Balansräkning Eget kapital och skulder,Leverantörsskulder,,4758444,3447249
Balansräkning Eget kapital och skulder,Skatteskulder,,96723,13938
Balansräkning Eget kapital och skulder,Fond för inre underhåll,,645119,655133
Balansräkning Eget kapital och skulder,Övriga skulder,Not 16,11830,34321
Balansräkning Eget kapital och skulder,Upplupna kostnader och förutbetalda intäkter,Not 17,5261526,4389933
Balansräkning Eget kapital och skulder,Summa kortfristiga skulder,,13930966,11697898
Balansräkning Eget kapital och skulder,Summa skulder,,162175214,127649470
Balansräkning Eget kapital och skulder,Summa eget kapital och skulder,,228516377,191564388

Kassaflödesanalys,Resultat efter finansiella poster,,2426244,1786741
Kassaflödesanalys,Avskrivningar,,4234600,3593826
Kassaflödesanalys,Kassaflöde från löpande verksamhet före rörelsekapital,,6660845,5380567
Kassaflödesanalys,Ökning/minskning kortfristiga fordringar,,-114221,-28482
Kassaflödesanalys,Ökning/minskning kortfristiga skulder,,2233068,1013823
Kassaflödesanalys,Kassaflöde från löpande verksamhet,,8779692,6365908
Kassaflödesanalys,Investeringar i fastigheter,,-21401166,777845
Kassaflödesanalys,Investeringar i maskiner/inventarier,,0,-3509521
Kassaflödesanalys,Kassaflöde från investeringsverksamhet,,-21401166,-2731676
Kassaflödesanalys,Ökning/minskning av långfristiga skulder,,32292676,-3157324
Kassaflödesanalys,Kassaflöde från finansieringsverksamhet,,32292676,-3157324
Kassaflödesanalys,Årets kassaflöde,,19671202,476908
Kassaflödesanalys,Likvida medel vid årets början,,10510044,10033137
Kassaflödesanalys,Likvida medel vid årets slut,,30181246,10510044

Not 1 Nettoomsättning,Årsavgifter,,32973032,32973032
Not 1 Nettoomsättning,Årsavgifter el,,1950,1800
Not 1 Nettoomsättning,Hyror,,3840814,3781509
Not 1 Nettoomsättning,Övriga intäkter,,225033,175402
Not 1 Nettoomsättning,Bruttoomsättning,,37040829,36931743
Not 1 Nettoomsättning,Avgifts- och hyresbortfall,,-654332,-390644
Not 1 Nettoomsättning,Hyresförluster,,-1050,-750
Not 1 Nettoomsättning,Summa,,36385447,36540349

Not 2 Drift och underhåll,Fastighetsskötsel och lokalvård,,3614918,3674599
Not 2 Drift och underhåll,Reparationer,,2775965,2886400
Not 2 Drift och underhåll,El,,1812457,1471344
Not 2 Drift och underhåll,Uppvärmning,,6642286,6542868
Not 2 Drift och underhåll,Vatten,,2825260,2275635
Not 2 Drift och underhåll,Sophämtning,,1596218,1806321
Not 2 Drift och underhåll,Fastighetsförsäkring,,644961,596821
