# HSB Brf Björkbacken i Tyresö – Resultaträkning 2024
# Källa: publik-arsredovisning-siken.pdf (HSB)
category,amount
Nettoomsättning,5765498
Fastighetskostnader,-3862430
Av- och nedskrivningar av materiella anläggningstillgångar,-1773891
Rörelseresultat,129177
Ränteintäkter och liknande resultatposter,25698
Räntekostnader och liknande resultatposter,-25698
Resultat efter finansiella poster,129177
Skatt på årets resultat,0
Årets resultat,129177
sparande_adj: Övriga sekundära intäkter (icke-normal intäkt),-334171
sparande_adj: Försäkringsskador (icke-normal kostnad),82014
