category,amount
# RESULTATRÄKNING (sida 8) - Räkenskapsår 2022
Nettoomsättning,42734661
Övriga rörelseintäkter,0
Drift och underhåll,-26523147
Övriga externa kostnader,-851109
Planerat underhåll,-1321779
Personalkostnader och arvoden,-712815
Avskrivningar av materiella anläggningstillgångar,-7051439
Summa rörelsekostnader,-36460288
Rörelseresultat,6274372
Ränteintäkter och liknande resultatposter,10571
Räntekostnader och liknande resultatposter,-3255022
Summa finansiella poster,-3244452
Årets resultat,3029921
# BALANSRÄKNING - TILLGÅNGAR (sida 9)
Byggnader och mark,257417515
Inventarier och maskiner,2456665
Pågående nyanläggningar,40195085
Summa Materiella anläggningstillgångar,300069264
Andra långfristiga värdepappersinnehav,500
Summa Anläggningstillgångar,300069764
Avgifts- hyres- och andra kundfordringar,202128
Avräkningskonto HSB Stockholm,11893051
Placeringskonto HSB Stockholm,5439
Övriga fordringar,91136
Förutbetalda kostnader och upplupna intäkter,1885207
Summa Kortfristiga fordringar,14076961
Kassa och bank,0
Summa Omsättningstillgångar,14076961
Summa Tillgångar,314146725
# BALANSRÄKNING - EGET KAPITAL OCH SKULDER (sida 10)
Insatser,6208000
Upplåtelseavgifter,9935000
Yttre underhållsfond,8921303
Summa Bundet eget kapital,25064303
Balanserat resultat,55833690
Årets resultat (fritt eget kapital),3029921
Summa Fritt eget kapital,58863610
Summa Eget kapital,83927913
Skulder till kreditinstitut (långfristiga),174969952
Summa Långfristiga skulder,174969952
Skulder till kreditinstitut (kortfristiga),45637324
Leverantörsskulder,2196661
Fond för inre underhåll,569827
Övriga skulder,23294
Upplupna kostnader och förutbetalda intäkter,6821754
Summa Kortfristiga skulder,55248861
Summa Skulder,230218813
Summa Eget kapital och skulder,314146725
# KASSAFLÖDESANALYS (sida 11)
Resultat efter finansiella poster,3029921
Avskrivningar,7051439
Kassaflöde från löpande verksamhet före förändringar av rörelsekapital,10081360
Ökning/minskning av kortfristiga fordringar,-309413
Ökning/minskning av kortfristiga skulder,-787016
Kassaflöde från löpande verksamhet,8984931
Investeringar i fastigheter,-33679039
Kassaflöde från investeringsverksamheten,-33679039
