category,amount
# RESULTATRÄKNING (sida 27) - Räkenskapsår 2024
Nettoomsättning,49194715
Övriga rörelseintäkter,183452
Summa Rörelseintäkter,49378167
Driftkostnader,-34361150
Övriga externa kostnader,-1094944
Personalkostnader,-895415
Av- och nedskrivningar av materiella och immateriella anläggningstillgångar,-9406248
Rörelseresultat,3620410
Ränteintäkter och liknande resultatposter,25698
Räntekostnader och liknande resultatposter,-4230005
Resultat efter finansiella poster,-583897
Årets resultat,-583897
# BALANSRÄKNING - TILLGÅNGAR (sida 28)
Byggnader och mark,287956033
Maskiner och andra tekniska anläggningar,2366263
Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar,15853383
Summa Materiella anläggningstillgångar,306175679
Andra långfristiga värdepappersinnehav,500
Summa Anläggningstillgångar,306176179
Kundfordringar,414364
Aktuell skattefordran,19541
Övriga fordringar,335160
Förutbetalda kostnader och upplupna intäkter,2398118
Summa Kortfristiga fordringar,3167183
Kassa och bank,19059678
Summa Omsättningstillgångar,22226861
Summa Tillgångar,328403040
# BALANSRÄKNING - EGET KAPITAL OCH SKULDER (sida 29)
Medlemsinsatser,16143000
Fond för yttre underhåll,8711039
Summa Bundet eget kapital,24854039
Balanserad vinst eller förlust,58207343
Årets resultat (fritt eget kapital),-583897
Summa Fritt eget kapital,57623446
Summa Eget kapital,82477485
Övriga skulder till kreditinstitut (långfristiga),173126880
Summa Långfristiga skulder,173126880
Skulder till kreditinstitut (kortfristiga),61016065
Leverantörsskulder,4805259
Övriga kortfristiga skulder,573272
Upplupna kostnader och förutbetalda intäkter,6404079
Summa Kortfristiga skulder,72798675
Summa Skulder,245925555
Summa Eget kapital och skulder,328403040
# KASSAFLÖDESANALYS (sida 30)
Rörelseresultat (kassaflöde),3620410
Avskrivningar,9406248
Erlagd ränta och ränteintäkter,-4204307
Kassaflöde från den löpande verksamheten före förändringar av rörelsekapital,8822351
Ökning/minskning av kundfordringar,-186676
Ökning/minskning av fordringar,-743295
Ökning/minskning av leverantörsskulder,2054703
Ökning/minskning av övriga kortfristiga skulder,1014801
Kassaflöde från den löpande verksamheten,10961884
Förvärv/avyttring av materiella anläggningstillgångar,-12842559
Kassaflöde från investeringsverksamheten,-12842559
Ökning/minskning av skuld till kreditinstitut,6400000
Kassaflöde från finansieringsverksamheten,6400000
Årets kassaflöde,4519325
Likvida medel vid årets början,14540353
Likvida medel vid årets slut,19059678
# NOT 2 - Nettoomsättning (sida 32)
Årsavgifter,45213258
Hyror bostäder,276336
Hyror garage och p-platser,2470545
Hyror lokaler,880056
Överlåtelse- och pantsättningsavgifter,128328
Hyror övrigt,226192
Summa Nettoomsättning (not 2),49194715
# NOT 3 - Övriga rörelseintäkter (sida 32)
Ersättning elstöd,0
Försäkringsersättning,5198
Övriga intäkter (not 3),178254
Summa Övriga rörelseintäkter (not 3),183452
# NOT 4 - Driftskostnader (sida 32)
Fastighetsskötsel,752895
Städning,708917
Hisstillsyn,47030
Tillsyn och besiktning och kontroller,1233652
Trädgårdsskötsel,1071945
Snöröjning,1180297
Reparationer,4867410
Underhåll,3843448
El,2144962
Uppvärmning,7466635
Vatten,3953695
