year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2012,3,15205,15329,15084,15698
2013,8,16732,16634,14804,19024
2014,17,19468,19815,15957,23687
2015,18,24050,24384,19050,31098
2016,9,26536,25931,23280,27877
2017,14,29078,29246,24390,35610
2018,18,26258,26579,22235,33537
2019,25,26816,26599,21341,29878
2020,26,28886,28690,24358,33232
2021,19,28571,30270,25978,37037
2022,20,34637,34640,30168,41233
2023,19,28771,29246,24581,35754
2024,15,29787,29424,23464,35366
2025,23,27374,27198,22346,32927
2026,8,30522,29864,24339,34078
