year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2013,4,16899,16998,15084,19110
2014,8,20112,19946,17808,21524
2015,13,23799,23983,20635,28354
2016,14,26495,26076,20635,29609
2017,12,29609,29551,26816,35610
2018,19,25698,26305,21788,33537
2019,18,26816,26622,21461,30488
2020,20,28864,28826,24525,33232
2021,11,28571,29599,27598,34451
2022,8,35363,34539,24581,41233
2023,18,28350,28674,24581,35754
2024,13,28715,28748,23464,35366
2025,15,26816,26848,22905,29888
2026,4,29776,29175,24339,32808
