year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2013,4,16899,16998,15084,19110
2014,6,19611,19450,17808,21233
2015,7,25616,25160,20635,28354
2016,7,26536,25846,20635,29609
2017,5,29609,29363,26816,30726
2018,13,25698,26289,21788,33537
2019,18,27443,27229,22291,30488
2020,12,29082,28926,24581,33232
2021,9,28571,29245,27598,33520
2022,9,35754,35064,24581,41233
2023,15,27933,28659,24581,35754
2024,10,28908,29584,25978,35366
2025,14,27095,26876,22905,29888
2026,2,31767,31767,30726,32808
