year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2013,3,20938,21716,19375,24836
2014,9,21296,21873,20000,24074
2015,13,25625,27153,23250,35656
2016,18,29066,29666,23438,38813
2017,15,33125,33256,28520,41695
2018,14,28437,29286,24875,36250
2019,24,30164,30045,24074,38983
2020,13,31875,31973,29875,35593
2021,17,35625,35277,29375,39508
2022,21,36250,36017,26049,44063
2023,18,31219,31714,26188,40000
2024,13,32500,33222,27438,38272
2025,17,32188,31748,25642,37288
2026,4,30791,30991,27813,34568
