year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2012,3,21250,19831,16111,22131
2013,17,19938,20156,15204,25593
2014,19,21148,22046,18688,27966
2015,17,26750,27266,21261,35656
2016,20,29097,30314,24375,39322
2017,22,33750,33893,27750,41695
2018,16,30320,30026,21250,39831
2019,31,30988,30801,24074,38983
2020,19,32143,32381,28625,36066
2021,27,36066,35782,29375,39508
2022,34,35781,35597,26049,44063
2023,23,31875,32269,26188,40000
2024,27,33250,33789,27438,40000
2025,24,32594,32651,25000,38559
2026,7,31786,31444,27813,34568
