year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2013,6,19228,21101,15855,29767
2014,12,24594,24429,18018,29535
2015,5,32813,32404,26490,38512
2016,5,37500,38653,31250,46744
2017,9,34063,35077,28761,48837
2018,9,32245,34826,25225,49070
2019,8,28006,30907,24775,44186
2020,7,32829,33412,29121,38125
2021,11,34063,38077,31579,51163
2022,9,37348,36782,30921,42105
2023,13,34254,35051,26250,44186
2024,8,38890,38449,34145,44070
2025,9,31875,34061,27500,44186
2026,4,31250,31756,30459,34066
