year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2013,1,21053,21053,21053,21053
2014,9,24167,23283,18018,28140
2015,3,38512,34846,26490,39535
2016,5,37375,39045,31050,46744
2017,7,33163,35728,28761,48837
2018,11,29082,34074,25225,49070
2019,7,28265,32340,25967,44186
2020,7,32044,33169,29121,38125
2021,10,33716,37753,31579,51163
2022,7,38843,36983,30921,42105
2023,10,35877,35891,26250,44186
2024,9,34625,35916,28367,44070
2025,8,31875,31901,27500,35868
2026,4,34160,33258,30459,34254
