year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2013,6,22262,22240,19375,24836
2014,26,23003,23117,18018,28140
2015,30,28626,29630,23250,39535
2016,37,31938,32655,23438,46744
2017,34,34500,35319,28520,48837
2018,46,30156,32023,24875,49070
2019,53,31188,31928,24074,44186
2020,51,33058,33470,28625,39831
2021,46,35776,36352,29375,51163
2022,42,36956,36589,26049,49752
2023,41,33333,33495,26188,44186
2024,47,33250,33768,25313,44070
2025,39,32438,32017,25642,38559
2026,13,33750,32750,27500,41322
