sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,booli_url,apartment_number
2026-05-05,Myggdalsvägen 38,38,3,82.5,1700000,,20606,,,Erik Olsson,6091237,https://www.booli.se/bostad/677610,Lgh 1001
2026-04-30,Myggdalsvägen 118,118,4,88.5,2100000,,23729,,,HusmanHagberg,6081836,https://www.booli.se/bostad/677537,Lgh 1201
2026-04-19,Myggdalsvägen 122,122,3,88.5,2000000,,22599,,,Erik Olsson,6046546,https://www.booli.se/annons/6046546,
2026-04-07,Myggdalsvägen 110,110,5,114.5,3500000,,30568,,,HusmanHagberg,5379515,https://www.booli.se/bostad/677955,Lgh 1303
2026-03-21,Myggdalsvägen 96,96,4,90.0,2295000,,25500,,,HusmanHagberg,5596105,https://www.booli.se/bostad/678006,Lgh 1101
2026-03-17,Myggdalsvägen 102,102,2,49.5,1595000,,32222,,,Svensk Fastighetsförmedling,5953079,https://www.booli.se/annons/5953079,
2026-03-15,Myggdalsvägen 64,64,4,90.0,2295000,,25500,,,SkandiaMäklarna,4806292,https://www.booli.se/bostad/678140,Lgh 1301
2026-03-12,Myggdalsvägen 90,90,3,92.0,2520000,,27391,,,Svensk Fastighetsförmedling,5954535,https://www.booli.se/annons/5954535,
2026-03-10,Myggdalsvägen 26,26,4,89.0,2300000,,25843,,,Svensk Fastighetsförmedling,5953635,https://www.booli.se/annons/5953635,
2026-02-15,Myggdalsvägen 92,92,,90.0,2500000,,27778,,,Svensk Fastighetsförmedling,5953827,https://www.booli.se/annons/5953827,
2026-02-13,Myggdalsvägen 94,94,3,92.0,1895000,,20598,,,SkandiaMäklarna,5959880,https://www.booli.se/bostad/677997,Lgh 1302
2026-01-27,Myggdalsvägen 90,90,4,92.0,1695000,,18424,,,Svensk Fastighetsförmedling,5975168,https://www.booli.se/annons/5975168,
2026-01-24,Myggdalsvägen 92,92,4,92.0,2265000,,24620,,,Fastighetsbyrån,5926010,https://www.booli.se/annons/5926010,
2025-12-22,Myggdalsvägen 100,100,2,74.0,2200000,,29730,,,SkandiaMäklarna,5519351,https://www.booli.se/annons/5519351,
2025-12-15,Myggdalsvägen 86,86,4,88.5,2050000,,23164,,,SkandiaMäklarna,5343879,https://www.booli.se/bostad/677725,Lgh 1101
2025-12-10,Myggdalsvägen 14,14,3,92.0,2050000,,22283,,,HusmanHagberg,5940689,https://www.booli.se/bostad/677772,Lgh 1102
2025-11-24,Myggdalsvägen 34,34,4,88.5,2250000,,25424,,,Svensk Fastighetsförmedling,5447176,https://www.booli.se/annons/5447176,
2025-11-14,Myggdalsvägen 108,108,2,74.0,1750000,,23649,,,HusmanHagberg,5791774,https://www.booli.se/bostad/677937,Lgh 1203
2025-10-14,Myggdalsvägen 90,90,4,90.0,2075000,,23056,,,BOSTHLM,5856217,https://www.booli.se/annons/5856217,
2025-10-03,Myggdalsvägen 84,84,4,94.0,1795000,,19096,,,Svensk Fastighetsförmedling,5528353,https://www.booli.se/annons/5528353,
2025-09-08,Myggdalsvägen 106,106,2,49.5,1415000,,28586,,,Erik Olsson,5722313,https://www.booli.se/bostad/677930,Lgh 1502
2025-09-03,Myggdalsvägen 102,102,2,74.0,2125000,,28716,,,Notar,5784594,https://www.booli.se/bostad/677887,Lgh 1303
2025-08-28,Myggdalsvägen 18,18,3,90.0,2000000,,22222,,,SkandiaMäklarna,5741180,https://www.booli.se/bostad/677801,Lgh 1201
2025-08-15,Myggdalsvägen 116,116,4,88.5,2225000,,25141,,,Svensk Fastighetsförmedling,5376530,https://www.booli.se/annons/5376530,
2025-06-30,Myggdalsvägen 104,104,2,74.0,2250000,,30405,,,HusmanHagberg,5497465,https://www.booli.se/bostad/677910,Lgh 1501
2025-06-24,Myggdalsvägen 98,98,4,90.0,1900000,,21111,,,HusmanHagberg,5576312,https://www.booli.se/bostad/678020,Lgh 1101
2025-06-04,Myggdalsvägen 22,22,4,94.0,2200000,,23404,,,Svenska Mäklarhuset,5623286,https://www.booli.se/bostad/677558,Lgh 1302
2025-05-27,Myggdalsvägen 14,14,3,90.0,1950000,,21667,,,HusmanHagberg,5576836,https://www.booli.se/bostad/677781,Lgh 1601
2025-05-20,Myggdalsvägen 6,6,2,74.0,1800000,,24324,,,HusmanHagberg,5586628,https://www.booli.se/bostad/677832,Lgh 1203
2025-05-19,Myggdalsvägen 60,60,3,90.0,2195000,,24389,,,Fastighetsbyrån,5631656,https://www.booli.se/bostad/678108,Lgh 1101
2025-04-09,Myggdalsvägen 84,84,4,94.0,1800000,,19149,,,MOHV,5540833,https://www.booli.se/annons/5540833,
2025-03-24,Myggdalsvägen 56,56,4,94.0,1850000,,19681,,,HusmanHagberg,5505105,https://www.booli.se/bostad/677645,Lgh 1202
