sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,hemnet_url
2026-05-05,Myggdalsvägen 38,38,3.0,82.5,1700000,1595000,20606,6438,0.07,Erik Olsson Fastighetsförmedling,21712397,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-38-1359701496484993074
2026-04-30,Myggdalsvägen 118,118,4.0,88.5,2100000,2195000,23729,7621,-0.04,HusmanHagberg Tyresö/Älta,21705281,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-118-2828861733100223042
2026-04-19,Myggdalsvägen 122,122,3.0,88.5,2000000,1995000,22599,7442,0.0,Erik Olsson Fastighetsförmedling,21701712,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-122-621065336897766195
2026-04-07,Myggdalsvägen 110,110,5.0,114.5,3500000,3795000,30568,9505,-0.08,HusmanHagberg Tyresö/Älta,21397785,https://www.hemnet.se/salda/lagenhet-5rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-110-7182915950597589329
2026-03-20,Myggdalsvägen 96,96,4.0,90.0,2295000,2295000,25500,7603,0.0,HusmanHagberg Tyresö/Älta,21476252,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-96-7165515415613837499
2026-03-15,Myggdalsvägen 64,64,4.0,90.0,2295000,2295000,25500,7781,0.0,SkandiaMäklarna Tyresö/Älta,21465722,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-64-7689396632841278582
2026-03-12,Myggdalsvägen 90,90,3.0,92.0,2520000,2750000,27391,7609,-0.08,Svensk Fastighetsförmedling Tyresö,21597223,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-tyreso-kommun-myggdalsvagen-90-1409806032142567611
2026-03-10,Myggdalsvägen 26,26,4.0,89.0,2300000,2295000,25843,7442,0.0,Svensk Fastighetsförmedling Tyresö,21611380,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-26-2408563296513315679
2026-02-15,Myggdalsvägen 92,92,4.0,90.0,2500000,2450000,27778,7275,0.02,Svensk Fastighetsförmedling Tyresö,21591482,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-92-7574239809128075494
2026-02-13,Myggdalsvägen 94,94,3.0,92.0,1895000,1895000,20598,7877,0.0,SkandiaMäklarna Tyresö/Älta,21658201,https://www.hemnet.se/salda/lagenhet-3rum-central-tyreso-tyreso-kommun-myggdalsvagen-94-6150490334954356593
