year,region,n_sold,avg_price_kkr,median_price_kkr
2000,00,72392,390,173
2001,00,72096,441,225
2002,00,76297,526,295
2003,00,81161,571,360
2004,00,84787,671,455
2005,00,89848,776,530
2006,00,92697,933,650
2007,00,99455,1117,795
2008,00,89899,1080,800
2009,00,94717,1193,880
2010,00,98203,1312,995
2011,00,93509,1357,1050
2012,00,94141,1411,1110
2013,00,100151,1538,1250
2014,00,104652,1720,1425
2015,00,110157,2021,1700
2016,00,105656,2210,1870
2017,00,109730,2380,2020
2018,00,103508,2254,1900
2019,00,107486,2318,1950
2020,00,117083,2520,2100
2021,00,127340,2785,2310
2022,00,108353,2771,2300
2023,00,90063,2704,2200
2024,00,101819,2821,2275
