year,n,median_kr_per_m2,mean_kr_per_m2,min_kr_per_m2,max_kr_per_m2
2013,45,20938,21577,8885,42000
2014,123,22125,23709,11215,51429
2015,287,30273,31845,13411,69000
2016,311,33784,35960,4141,100000
2017,359,36429,38660,18566,95000
2018,305,32787,34757,16495,76371
2019,386,33333,35379,19299,102727
2020,486,36613,38517,19797,77053
2021,417,38732,40984,21138,85238
2022,326,40000,41734,23729,88636
2023,301,37032,38159,22167,84091
2024,319,36313,38030,21705,80882
2025,334,35000,36126,19096,77045
2026,140,34858,36842,18424,66458
