apartment,port
1,24
2,24
3,24
4,24
5,24
6,24
7,24
8,24
9,22
10,22
11,22
12,22
13,22
14,22
15,22
16,22
17,28
18,28
19,28
20,28
21,28
22,28
23,28
24,26
25,26
26,26
27,26
28,26
29,26
30,26
31,26
32,32
33,32
34,32
35,32
36,32
37,32
38,30
39,30
40,30
41,30
42,30
43,30
44,40
45,40
46,40
47,40
48,40
49,40
50,38
51,38
52,38
53,38
54,38
55,38
56,36
57,36
58,36
59,36
60,36
61,36
62,36
63,36
64,34
65,34
66,34
67,34
68,34
69,34
70,34
71,34
72,44
73,44
74,44
75,44
76,44
77,44
78,42
79,42
80,42
81,42
82,42
83,42
84,54
85,54
86,54
87,54
88,54
89,54
90,52
91,52
92,52
93,52
94,52
95,52
96,58
97,58
98,58
99,58
100,58
101,58
102,56
103,56
104,56
105,56
106,56
107,56
108,68
109,68
110,68
111,68
112,68
113,68
114,66
115,66
116,66
117,66
118,66
119,66
120,72
121,72
122,72
123,72
124,72
125,72
126,72
127,72
128,70
129,70
130,70
131,70
132,70
133,70
134,70
135,70
136,88
137,88
138,88
139,88
140,88
141,88
142,88
143,88
144,86
145,86
146,86
147,86
148,86
149,86
150,86
151,86
152,76
153,76
154,76
155,76
156,76
157,76
158,74
159,74
160,74
161,74
162,74
163,74
164,120
165,120
166,120
167,120
168,120
169,120
170,122
171,122
172,122
173,122
174,122
175,122
176,80
177,80
178,80
179,80
180,78
181,78
182,78
183,78
184,116
185,116
186,116
187,116
188,116
189,116
190,118
191,118
192,118
193,118
194,118
195,118
196,114
197,114
198,114
199,114
200,114
201,114
202,112
203,112
204,112
205,112
206,112
207,112
208,84
209,84
210,84
211,84
212,84
213,84
214,84
215,84
216,82
217,82
218,82
219,82
220,82
221,82
222,82
223,82
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,8
250,8
251,8
252,8
253,8
254,8
255,8
256,8
257,8
259,10
260,10
261,10
262,10
263,10
264,10
265,10
266,10
267,10
268,10
269,10
270,10
271,10
272,10
273,10
274,10
275,20
276,20
277,20
278,20
279,20
280,20
281,20
282,20
283,20
284,20
285,20
286,20
287,20
288,20
289,18
290,18
291,18
292,18
293,18
294,18
295,18
296,18
297,18
298,18
299,18
300,18
301,18
302,18
303,16
304,16
305,16
306,16
307,16
308,16
309,16
310,16
311,16
312,16
313,16
314,16
315,16
316,16
317,14
318,14
319,14
320,14
321,14
322,14
323,14
324,14
325,14
326,14
327,14
328,14
329,14
330,14
331,12
332,12
333,12
334,12
335,12
336,12
337,12
338,12
339,12
340,12
341,12
342,12
343,12
344,12
345,50
346,50
347,50
348,50
349,50
350,50
351,50
352,50
353,50
354,50
355,50
356,50
357,50
358,50
359,48
360,48
361,48
362,48
363,48
364,48
365,48
366,48
367,48
368,48
369,48
370,48
371,48
372,48
373,46
374,46
375,46
376,46
377,46
378,46
379,46
380,46
381,46
382,46
383,46
384,46
385,46
386,46
387,64
388,64
389,64
390,64
391,64
392,64
393,64
394,64
395,64
396,64
397,64
398,64
399,64
400,64
401,62
402,62
403,62
404,62
405,62
406,62
407,62
408,62
409,62
410,62
411,62
412,62
413,62
414,62
415,60
416,60
417,60
418,60
419,60
420,60
421,60
422,60
423,60
424,60
425,60
426,60
427,60
428,60
429,98
430,98
431,98
432,98
433,98
434,98
435,98
436,98
437,98
438,98
439,98
440,98
441,98
442,98
443,96
444,96
445,96
446,96
447,96
448,96
449,96
450,96
451,96
452,96
453,96
454,96
455,96
456,96
457,94
458,94
459,94
460,94
461,94
462,94
463,94
464,94
465,94
466,94
467,94
468,94
469,94
470,94
471,92
472,92
473,92
474,92
475,92
476,92
477,92
478,92
479,92
480,92
481,92
482,92
483,92
484,92
485,90
486,90
487,90
488,90
489,90
490,90
491,90
492,90
493,90
494,90
495,90
496,90
497,90
498,90
499,104
500,104
501,104
502,104
503,104
504,104
505,104
506,104
507,104
508,104
509,104
510,104
511,104
512,104
513,104
514,104
515,104
516,104
517,102
518,102
519,102
520,102
521,102
522,102
523,102
524,102
525,102
526,102
527,102
528,102
529,102
530,102
531,102
532,102
533,102
534,102
535,102
536,100
537,100
538,100
539,100
540,100
541,100
542,100
543,100
544,100
545,100
546,100
547,100
548,100
549,100
550,100
551,100
552,100
553,100
554,100
555,100
556,110
557,110
558,110
559,110
560,110
561,110
562,110
563,110
564,110
565,110
566,110
567,110
568,110
569,110
570,110
571,108
572,108
573,108
574,108
575,108
576,108
577,108
578,108
579,108
580,108
581,108
582,108
583,108
584,108
585,108
586,106
587,106
588,106
589,106
590,106
591,106
592,106
593,106
594,106
595,106
596,106
597,106
598,106
599,106
600,106
601,106
602,104
603,108
604,110
605,106
606,108
