year,category_id,amount,file,page,x,y,width,height
2024,0,34346845,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,146,50,17,4
2024,4,462259,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,150,54,12,4
2024,1,-19808147,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,144,71,19,4
2024,5,-137972,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,149,75,14,4
2024,6,-620309,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,149,79,14,4
2024,15,198706,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,150,108,12,4
2024,7,-3798051,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,146,113,17,4
2024,13,-36196,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,151,82,12,4
2024,14,204743,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,150,86,12,4
2024,11,-1858797,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,146,91,17,4
2024,12,716545,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,150,95,12,4
2024,8,-19220721,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,144,113,19,4
2024,3,9369112,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,146,150,17,4
2024,17,31809836,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,146,44,17,4
2024,18,1947884,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,53,12,4
2024,19,589125,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,62,12,4
2024,50,-704912,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,172,12,4
2024,51,-469615,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,177,12,4
2024,53,-177656,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,181,12,4
2024,54,-2313754,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,147,185,15,4
2024,55,-250522,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,190,12,4
2024,21,-1279021,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,147,194,15,4
2024,22,-2116293,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,147,198,15,4
2024,23,-5286382,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,147,203,15,4
2024,24,-2278946,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,147,207,15,4
2024,25,-693223,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,211,12,4
2024,26,-595371,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,216,12,4
2024,28,-711400,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,220,12,4
2024,30,-138712,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,229,12,4
2024,27,-804651,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,233,12,4
2024,29,-1065465,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,150,237,12,4
2024,31,-922224,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,16,150,53,12,4
2024,36,-6933,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,16,154,87,9,4
2024,38,-41789,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,16,152,91,11,4
2024,42,-14500,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,16,152,96,11,4
2024,37,-74750,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,16,152,100,11,4
2024,44,-495000,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,16,150,144,12,4
2024,46,-27725,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,16,152,153,11,4
2024,47,-97584,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,16,152,157,11,4
