year,category_id,amount,file,page,x,y,width,height
2024,0,13963482,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,7,579,224,233,9
2024,4,334171,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,7,579,245,233,9
2024,1,-9648328,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,7,579,327,234,9
2024,5,-375503,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,7,579,348,233,9
2024,6,-501023,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,7,579,369,233,9
2024,15,45162,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,10,656,349,156,9
2024,7,-1997215,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,10,633,370,180,9
2024,14,11481,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,10,659,489,153,9
2024,10,-168961,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,10,646,510,165,9
2024,3,0,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,10,400,500,100,15
2024,17,12480258,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,633,716,178,9
2024,18,1639549,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,651,758,161,9
2024,19,97485,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,659,821,153,9
2024,20,-253810,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,12,646,950,165,9
2024,2,-1946668,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,635,222,177,9
2024,55,-183448,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,243,165,9
2024,21,-759760,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,264,165,9
2024,32,-82014,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,306,158,9
2024,22,-1602915,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,635,327,177,9
2024,23,-1190701,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,635,348,177,9
2024,24,-1158964,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,635,370,177,9
2024,25,-409041,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,391,166,9
2024,26,-248815,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,412,166,9
2024,27,-482807,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,433,165,9
2024,28,-495568,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,454,165,9
2024,29,-616127,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,475,166,9
2024,30,-49269,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,497,158,9
2024,34,-1481,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,662,654,151,9
2024,35,-53033,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,675,158,9
2024,36,-93806,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,696,158,9
2024,37,-26250,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,717,158,9
2024,39,-63954,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,759,158,9
2024,41,-25678,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,781,158,9
2024,42,-111300,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,802,165,9
2024,45,-10000,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,959,158,9
2024,46,-404340,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,646,981,166,9
2024,47,-86683,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,13,654,1001,158,9
2024,31,-422232,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,7,579,327,234,9
2024,56,81322,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,7,579,400,234,9
