year,category_id,amount,file,page,x,y,width,height
2024,0,22990230,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,572,658,240,9
2024,1,30000000,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,572,577,240,9
2024,2,112234,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,8,572,740,240,9
2024,3,4132264,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,640,206,172,9
2024,5,3500000,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,8,640,658,172,9
2023,0,52990230,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,572,658,240,9
2023,1,0,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,9,572,577,240,9
2023,2,95450,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,8,572,740,240,9
2023,3,5985782,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,15,640,206,172,9
2023,5,0,HSB Brf Bjorkbacken i Tyreso AR och RB 2024.pdf,8,640,658,172,9
