date,amount
2026-01-28,4833333.33
2026-02-28,4833333.33
2026-03-28,4833333.33
2026-04-28,4833333.33
2026-05-28,4833333.33
2026-06-28,4833333.33
2026-07-28,4833333.33
2026-08-28,4833333.33
2026-09-28,4833333.33
2026-10-28,4833333.33
2026-11-28,4833333.33
2026-12-28,4833333.33
2027-01-28,4833333.33
2027-02-28,4833333.33
2027-03-28,4833333.33
2027-04-28,4833333.33
2027-05-28,4833333.33
2027-06-28,4833333.33
2027-07-28,4833333.33
2027-08-28,4833333.33
2027-09-28,4833333.33
2027-10-28,4833333.33
2027-11-28,4833333.33
2027-12-28,4833333.33
2028-01-28,4833333.33
2028-02-28,4833333.33
2028-03-28,4833333.33
2028-04-28,4833333.33
2028-05-28,4833333.33
2028-06-28,4833333.33
2028-07-28,4833333.33
2028-08-28,4833333.33
2028-09-28,4833333.33
2028-10-28,4833333.33
2028-11-28,4833333.33
2028-12-28,4833333.33
2029-01-28,4833333.33
2029-02-28,4833333.33
2029-03-28,4833333.33
2029-04-28,4833333.33
2029-05-28,4833333.33
2029-06-28,4833333.33
2029-07-28,4833333.33
2029-08-28,4833333.33
2029-09-28,4833333.33
2029-10-28,4833333.33
2029-11-28,4833333.33
2029-12-28,4833333.33
2030-01-28,4833333.33
2030-02-28,4833333.33
2030-03-28,4833333.33
2030-04-28,4833333.33
2030-05-28,4833333.33
2030-06-28,4833333.33
2030-07-28,4833333.33
2030-08-28,4833333.33
2030-09-28,4833333.33
2030-10-28,4833333.33
2030-11-28,4833333.33
2030-12-28,4833333.33
